Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,YearBuilt,YearRemodAdd,GrLivArea,TotalBsmtSF,BedroomAbvGr,BathroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice
1,40,RL,83,14245,Pave,,Reg,Bnk,1927,2000,932,117,4,1,1,7,3,1233,109270
2,20,RL,21,5442,Pave,,Reg,Lvl,1924,1973,1733,409,2,1,1,9,2,129,183838
3,60,RH,21,9431,Pave,,IR2,Bnk,1956,2006,1050,1159,2,1,1,15,2,215,95345
4,20,I,178,2383,Pave,,Reg,Lvl,2008,2010,886,1808,2,1,1,14,2,692,99505
5,90,RL,35,8804,Pave,,Reg,Lvl,1909,1989,1018,1335,3,1,1,15,2,23,123899
6,40,FV,186,6644,Pave,,Reg,Low,1952,1974,1993,851,2,1,1,4,2,622,224085
7,40,I,,5351,Grvl,,Reg,Lvl,1878,1952,575,489,3,1,1,8,2,91,112084
8,90,RL,42,10762,Pave,Grvl,Reg,Lvl,1933,1976,1608,733,8,2,1,15,3,90,217155
9,20,RL,85,3952,Pave,,Reg,Lvl,1888,1959,2160,402,3,2,1,8,2,18,221421
10,160,RH,293,5391,Pave,,Reg,Lvl,1882,1961,909,1562,3,1,1,13,1,64,101784
11,85,RL,,9654,Grvl,,Reg,Lvl,2000,1983,407,464,3,2,1,13,2,224,116808
12,120,I,96,2882,Pave,,Reg,Lvl,1988,1983,1091,120,3,1,1,5,1,348,136667
13,190,RL,54,9014,Pave,,IR1,Lvl,1919,1963,3512,165,4,1,1,9,2,475,333403
14,160,RP,,13911,Pave,,IR1,Lvl,1890,2001,334,959,3,1,1,11,2,161,93562
15,80,RL,21,14495,Pave,,Reg,Lvl,1965,1990,334,313,3,3,1,10,2,151,102212
16,90,RM,35,1684,Pave,,Reg,Lvl,1996,1977,2743,184,3,1,1,2,2,238,188912
17,75,RL,86,4534,Pave,Pave,Reg,Lvl,1876,1988,334,1081,3,1,1,14,2,1249,122948
18,150,RL,230,17481,Pave,,IR1,Lvl,2005,1968,342,1100,3,1,1,6,1,480,100962
19,70,FV,,18722,Pave,,IR3,Lvl,1877,1985,1111,153,5,1,1,13,2,591,140238
20,90,RL,50,23045,Pave,,IR3,Bnk,1902,1959,994,2777,3,2,1,4,2,203,141654
21,160,RL,,4284,Pave,Pave,IR1,Bnk,1920,2001,1300,334,2,1,1,14,2,865,212280
22,150,C,234,9081,Pave,,Reg,HLS,1878,1953,334,106,2,2,1,8,2,1418,101703
23,30,RL,74,5239,Pave,,Reg,Lvl,1977,1992,334,30,3,1,1,9,3,599,146836
24,70,I,21,8342,Pave,,IR3,HLS,1898,1955,334,314,3,1,1,11,4,312,104937
25,85,RL,93,1500,Pave,,Reg,Lvl,1936,2003,334,741,3,1,1,2,3,777,167451
26,60,FV,79,3626,Pave,,Reg,Lvl,1931,1998,971,229,2,1,1,14,2,1155,188086
27,160,RL,,2833,Pave,,Reg,HLS,2004,1999,3309,25,3,1,1,4,2,750,311984
